# 도서산간 우편번호 시드 — 출처: 택배사 공통 기준표(campaignus/imweb 게시본, 2026-07-20 확인)
# 원본 오탈자 보정 2건: '경남 통영 54000'→전북 군산 섬지역, '전남 신안 28826'→58826
# 연륙교 연결 지역은 미포함 — 목록에 없으면 일반 판정 (추가비 과청구 방지 원칙)
# 교차 검증 2026-07-20: 독립 출처(도매꾹 지역표) 표본 12개 중 11개 일치. 차이는 15654(대부도·연륙교)뿐 — 위 원칙과 일치
# 공식 단일 출처 부재 확인 (CJ·우체국 미공개). 택배사 계약 확정 시 해당 사 기준표로 최종 정렬 예정
zip_code,kind,region_name
63506,jeju,제주특별자치도
63507,jeju,제주특별자치도
63508,jeju,제주특별자치도
63509,jeju,제주특별자치도
63510,jeju,제주특별자치도
63511,jeju,제주특별자치도
63512,jeju,제주특별자치도
63513,jeju,제주특별자치도
63514,jeju,제주특별자치도
63515,jeju,제주특별자치도
63516,jeju,제주특별자치도
63517,jeju,제주특별자치도
63518,jeju,제주특별자치도
63519,jeju,제주특별자치도
63520,jeju,제주특별자치도
63521,jeju,제주특별자치도
63522,jeju,제주특별자치도
63523,jeju,제주특별자치도
63524,jeju,제주특별자치도
63525,jeju,제주특별자치도
63526,jeju,제주특별자치도
63527,jeju,제주특별자치도
63528,jeju,제주특별자치도
63529,jeju,제주특별자치도
63530,jeju,제주특별자치도
63531,jeju,제주특별자치도
63532,jeju,제주특별자치도
63533,jeju,제주특별자치도
63534,jeju,제주특별자치도
63535,jeju,제주특별자치도
63536,jeju,제주특별자치도
63537,jeju,제주특별자치도
63538,jeju,제주특별자치도
63539,jeju,제주특별자치도
63540,jeju,제주특별자치도
63541,jeju,제주특별자치도
63542,jeju,제주특별자치도
63543,jeju,제주특별자치도
63544,jeju,제주특별자치도
63545,jeju,제주특별자치도
63546,jeju,제주특별자치도
63547,jeju,제주특별자치도
63548,jeju,제주특별자치도
63549,jeju,제주특별자치도
63550,jeju,제주특별자치도
63551,jeju,제주특별자치도
63552,jeju,제주특별자치도
63553,jeju,제주특별자치도
63554,jeju,제주특별자치도
63555,jeju,제주특별자치도
63556,jeju,제주특별자치도
63557,jeju,제주특별자치도
63558,jeju,제주특별자치도
63559,jeju,제주특별자치도
63560,jeju,제주특별자치도
63561,jeju,제주특별자치도
63562,jeju,제주특별자치도
63563,jeju,제주특별자치도
63564,jeju,제주특별자치도
63565,jeju,제주특별자치도
63566,jeju,제주특별자치도
63567,jeju,제주특별자치도
63568,jeju,제주특별자치도
63569,jeju,제주특별자치도
63570,jeju,제주특별자치도
63571,jeju,제주특별자치도
63572,jeju,제주특별자치도
63573,jeju,제주특별자치도
63574,jeju,제주특별자치도
63575,jeju,제주특별자치도
63576,jeju,제주특별자치도
63577,jeju,제주특별자치도
63578,jeju,제주특별자치도
63579,jeju,제주특별자치도
63580,jeju,제주특별자치도
63581,jeju,제주특별자치도
63582,jeju,제주특별자치도
63583,jeju,제주특별자치도
63584,jeju,제주특별자치도
63585,jeju,제주특별자치도
63586,jeju,제주특별자치도
63587,jeju,제주특별자치도
63588,jeju,제주특별자치도
63589,jeju,제주특별자치도
63590,jeju,제주특별자치도
63591,jeju,제주특별자치도
63592,jeju,제주특별자치도
63593,jeju,제주특별자치도
63594,jeju,제주특별자치도
63595,jeju,제주특별자치도
63596,jeju,제주특별자치도
63597,jeju,제주특별자치도
63598,jeju,제주특별자치도
63599,jeju,제주특별자치도
63600,jeju,제주특별자치도
63601,jeju,제주특별자치도
63602,jeju,제주특별자치도
63603,jeju,제주특별자치도
63604,jeju,제주특별자치도
63605,jeju,제주특별자치도
63606,jeju,제주특별자치도
63607,jeju,제주특별자치도
63608,jeju,제주특별자치도
63609,jeju,제주특별자치도
63610,jeju,제주특별자치도
63611,jeju,제주특별자치도
63612,jeju,제주특별자치도
63613,jeju,제주특별자치도
63614,jeju,제주특별자치도
63615,jeju,제주특별자치도
63616,jeju,제주특별자치도
63617,jeju,제주특별자치도
63618,jeju,제주특별자치도
63619,jeju,제주특별자치도
63620,jeju,제주특별자치도
63621,jeju,제주특별자치도
63622,jeju,제주특별자치도
63623,jeju,제주특별자치도
63624,jeju,제주특별자치도
63625,jeju,제주특별자치도
63626,jeju,제주특별자치도
63627,jeju,제주특별자치도
63628,jeju,제주특별자치도
63629,jeju,제주특별자치도
63630,jeju,제주특별자치도
63631,jeju,제주특별자치도
63632,jeju,제주특별자치도
63633,jeju,제주특별자치도
63634,jeju,제주특별자치도
63635,jeju,제주특별자치도
63636,jeju,제주특별자치도
63637,jeju,제주특별자치도
63638,jeju,제주특별자치도
63639,jeju,제주특별자치도
63640,jeju,제주특별자치도
63641,jeju,제주특별자치도
63642,jeju,제주특별자치도
63643,jeju,제주특별자치도
63644,jeju,제주특별자치도
22386,island,인천 중구 섬지역
22387,island,인천 중구 섬지역
22388,island,인천 중구 섬지역
23004,island,인천 강화 섬지역
23005,island,인천 강화 섬지역
23006,island,인천 강화 섬지역
23007,island,인천 강화 섬지역
23008,island,인천 강화 섬지역
23009,island,인천 강화 섬지역
23010,island,인천 강화 섬지역
23100,island,인천 옹진 섬지역
23101,island,인천 옹진 섬지역
23102,island,인천 옹진 섬지역
23103,island,인천 옹진 섬지역
23104,island,인천 옹진 섬지역
23105,island,인천 옹진 섬지역
23106,island,인천 옹진 섬지역
23107,island,인천 옹진 섬지역
23108,island,인천 옹진 섬지역
23109,island,인천 옹진 섬지역
23110,island,인천 옹진 섬지역
23111,island,인천 옹진 섬지역
23112,island,인천 옹진 섬지역
23113,island,인천 옹진 섬지역
23114,island,인천 옹진 섬지역
23115,island,인천 옹진 섬지역
23116,island,인천 옹진 섬지역
23124,island,인천 옹진 섬지역
23125,island,인천 옹진 섬지역
23126,island,인천 옹진 섬지역
23127,island,인천 옹진 섬지역
23128,island,인천 옹진 섬지역
23129,island,인천 옹진 섬지역
23130,island,인천 옹진 섬지역
23131,island,인천 옹진 섬지역
23132,island,인천 옹진 섬지역
23133,island,인천 옹진 섬지역
23134,island,인천 옹진 섬지역
23135,island,인천 옹진 섬지역
23136,island,인천 옹진 섬지역
31708,island,충남 당진 섬지역
32133,island,충남 태안 섬지역
33411,island,충남 보령 섬지역
40200,island,경북 울릉군
40201,island,경북 울릉군
40202,island,경북 울릉군
40203,island,경북 울릉군
40204,island,경북 울릉군
40205,island,경북 울릉군
40206,island,경북 울릉군
40207,island,경북 울릉군
40208,island,경북 울릉군
40209,island,경북 울릉군
40210,island,경북 울릉군
40211,island,경북 울릉군
40212,island,경북 울릉군
40213,island,경북 울릉군
40214,island,경북 울릉군
40215,island,경북 울릉군
40216,island,경북 울릉군
40217,island,경북 울릉군
40218,island,경북 울릉군
40219,island,경북 울릉군
40220,island,경북 울릉군
40221,island,경북 울릉군
40222,island,경북 울릉군
40223,island,경북 울릉군
40224,island,경북 울릉군
40225,island,경북 울릉군
40226,island,경북 울릉군
40227,island,경북 울릉군
40228,island,경북 울릉군
40229,island,경북 울릉군
40230,island,경북 울릉군
40231,island,경북 울릉군
40232,island,경북 울릉군
40233,island,경북 울릉군
40234,island,경북 울릉군
40235,island,경북 울릉군
40236,island,경북 울릉군
40237,island,경북 울릉군
40238,island,경북 울릉군
40239,island,경북 울릉군
40240,island,경북 울릉군
46768,island,부산 강서구 섬지역
46769,island,부산 강서구 섬지역
46770,island,부산 강서구 섬지역
46771,island,부산 강서구 섬지역
52570,island,경남 사천 섬지역
